ลําดับที่,จังหวัด,เขต,,,,,
เลือกตั้งที่,เลขที่,,,,,,
ใบรับใบสมัคร,คํานําหน้า,,,,,,
ผู้สมัคร,ชื่อผู้สมัคร,นามสกุลผู้สมัคร,ชื่อพรรคการเมือง,,,,
140,กรุงเทพมหานคร,3,12,นาย,ณฐพนธ์,คงศิลา,ภูมิใจไทย
141,กรุงเทพมหานคร,3,13,หม่อมหลวง,อภิมงคล,โสณกุล,ประชาธิปัตย์
142,กรุงเทพมหานคร,3,14,นางสาว,วรรณวรี,ตะล่อมสิน,อนาคตใหม่
143,กรุงเทพมหานคร,3,15,นาย,เอกรัฐ,เลิศรัตนชัยกจิ,ชาติพัฒนา
144,กรุงเทพมหานคร,3,16,นาย,ปฐวี,ชัยวัฒน์,ประชานิยม
145,กรุงเทพมหานคร,3,17,นาง,ธนัชพร,วงษ์ทองทิว,ภราดรภาพ
146,กรุงเทพมหานคร,3,18,นาย,ธนชัย,ตั้งตรงสากล,ไทยศรีวิไลย์
147,กรุงเทพมหานคร,3,19,นาย,สิทธิกร,หล่อกัณภัย,รักษ์ผืนป่าประเทศไทย
148,กรุงเทพมหานคร,3,20,นาย,วิทยา,ตั้งสุวรรณวงศ์,เศรษฐกิจใหม่
149,กรุงเทพมหานคร,3,21,นาย,อุปถัมภ์,พรรณสังข์,ครูไทยเพื่อประชาชน
150,กรุงเทพมหานคร,3,22,นาย,กิตตน์,รุ่งณรงค์รักษ์,พลังชาติไทย
151,กรุงเทพมหานคร,3,23,นางสาว,ดวงกมล,อดุลย์เศรณี,พลังไทยรักชาติ
152,กรุงเทพมหานคร,3,24,ร.ต.,ศรันย์วิทย์,เหมรักษ์,พลังสังคม
153,กรุงเทพมหานคร,3,25,นาย,พิสิษฐ์,เจียมจิรอานนท์,พลังไทสร้างชาติ
154,กรุงเทพมหานคร,3,26,นาย,ชมน์สฤษฏ์,รัตนชัยเดชา,ประชาธิปไตยใหม่
155,กรุงเทพมหานคร,3,27,นาย,เพียรชัย,องค์ศรีตระกูล,มติประชา
156,กรุงเทพมหานคร,3,28,นางสาว,พัชรินทร์,ประสพสุข,พลังศรัทธา
157,กรุงเทพมหานคร,3,29,นางสาว,ไอยพราว,พัชร์ปวริศร์,มหาชน
158,กรุงเทพมหานคร,3,30,นางสาว,ปัญนิษา,จํารัสธนเดช,ประชาธรรมไทย
159,กรุงเทพมหานคร,3,31,นางสาว,ภัทรา,นิทัศนานนทชัย,แผ่นดินธรรม
160,กรุงเทพมหานคร,3,32,นาย,สุรสิทธิ์,ผาบชมภู,ภาคีเครือข่ายไทย
161,กรุงเทพมหานคร,3,33,นาย,กฤษณะ,เนตร์ชัยรัตน์,ไทรักธรรม
162,กรุงเทพมหานคร,4,1,นาย,บุญเลิศ,นุ้ยเมือง,เพื่อชาติ
163,กรุงเทพมหานคร,4,2,นาย,กรณ์,จตุวิมล,อนาคตใหม่
164,กรุงเทพมหานคร,4,3,นางสาว,เดือนเพ็ญ,ยวงสูงเนิน,เสรีรวมไทย
165,กรุงเทพมหานคร,4,4,นาย,พิรสุต,จันทรานุวัฒน์,รวมพลังประชาชาติไทย
166,กรุงเทพมหานคร,4,5,นาย,เอกราช,หวังนุช,ภูมิใจไทย
167,กรุงเทพมหานคร,4,6,นาง,กรณิศ,งามสุคนธ์รัตนา,พลังประชารัฐ
168,กรุงเทพมหานคร,4,7,นางสาว,เมลิสา,มหาพล,ชาติพัฒนา
169,กรุงเทพมหานคร,4,8,นาย,มีชัย,ออสุวรรณ,ประชาชาติ
170,กรุงเทพมหานคร,4,9,นาย,นรินทร์,โกศลรุ่งเรือง,ประชาภิวัฒน์
171,กรุงเทพมหานคร,4,10,นาย,ศุภฤกษ์,ธนาพัชรมนฑ์,ไทยศรีวิไลย์
172,กรุงเทพมหานคร,4,11,นาย,อนุชา,บูรพชัยศรี,ประชาธิปัตย์
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
173,กรุงเทพมหานคร,4,12,นาย,สมชาย,ชีวเกรียงไกร,ประชาชนปฏิรูป
174,กรุงเทพมหานคร,4,13,นาย,จักรกรินทร์,สิงหนุต,มหาชน
175,กรุงเทพมหานคร,4,14,นางสาว,สกุลทิพย์,วิชญาโนทัย,ชาติไทยพัฒนา
176,กรุงเทพมหานคร,4,15,นาย,สันทัด,อัศวมั่นคงเจริญ,ภราดรภาพ
177,กรุงเทพมหานคร,4,16,นาง,สุธีรัชต์,อมรพงศาพันธ์,รักษ์ผืนป่าประเทศไทย
178,กรุงเทพมหานคร,4,17,นาย,อดิธร,ศรีประเสริฐ,พลังท้องถิ่นไท
179,กรุงเทพมหานคร,4,18,นาย,นวธันย์,ธวัชวงศ์เดชากุล,ไทยรักษาชาติ
180,กรุงเทพมหานคร,4,19,นาย,พันเทพ,หงษ์สุมาลย์,ประชานิยม
181,กรุงเทพมหานคร,4,20,นาย,ธนเสฏฐ์,รัตนสมบูรณ์,พลังชาติไทย
182,กรุงเทพมหานคร,4,21,นาย,ธนภณ,ธัญธนสกุล,เศรษฐกิจใหม่
183,กรุงเทพมหานคร,4,22,นาย,ธนเดช,ไชยพฤกษ์,ประชากรไทย
184,กรุงเทพมหานคร,4,23,นาย,วุฒิวัฒน์,ธนินพัฒนรัตน์,ครูไทยเพื่อประชาชน
185,กรุงเทพมหานคร,4,24,นางสาว,ปุณณ์ภัสสร,จีรวิวัฒนชัย,ประชาธิปไตยใหม่
186,กรุงเทพมหานคร,4,25,นาย,ณัฐรัตน์,ไหลพิริยกุล,พลังรัก
187,กรุงเทพมหานคร,4,26,นาย,นิพนธ์,ฐิติภัค,มติประชา
188,กรุงเทพมหานคร,4,27,นาง,กาญจนาภา,สิทธิคุณาพันธุ์,ประชาธรรมไทย
189,กรุงเทพมหานคร,4,28,นาย,สมพศิ,ผอบเพ็ชร,พลังไทสร้างชาติ
190,กรุงเทพมหานคร,4,29,นางสาว,จิรากัญ,มากบุญธรรม,พลเมืองไทย
191,กรุงเทพมหานคร,4,30,นางสาว,ณัฐรมณ์,ลิ้นลา,พลังศรัทธา
192,กรุงเทพมหานคร,4,31,นางสาว,ดารารัตน์,สีแดง,ไทรักธรรม
193,กรุงเทพมหานคร,4,32,นาย,ฉัตรชัย,คงเกิด,ภาคีเครือข่ายไทย
194,กรุงเทพมหานคร,5,1,นาย,ยงยุทธ,วงศ์ธีระสูตร,ชาติพัฒนา
195,กรุงเทพมหานคร,5,2,นางสาว,อรพินทร์,เพชรทัต,พลังประชารัฐ
196,กรุงเทพมหานคร,5,3,นาย,อภิเดช,ชยานนท์เกสรี,ประชาชาติ
197,กรุงเทพมหานคร,5,4,นาย,ธัชพงศ์,ชูดํา,ภูมิใจไทย
198,กรุงเทพมหานคร,5,5,นาย,สมชาย,ดุรงค์เดช,ประชาชนปฏิรูป
199,กรุงเทพมหานคร,5,6,นางสาว,ณฐบดี,อภิญญาตกุล,ไทยศรีวิไลย์
200,กรุงเทพมหานคร,5,7,นาย,กฤต,เลิศเศรษฐการ,เสรีรวมไทย
201,กรุงเทพมหานคร,5,8,นาย,อดิศร,โพธิ์อ่าน,อนาคตใหม่
202,กรุงเทพมหานคร,5,9,นาย,ธนา,ชีรวินิจ,ประชาธิปัตย์
203,กรุงเทพมหานคร,5,10,นาง,กรรธิมา,สันติสุข,พลังธรรมใหม่
204,กรุงเทพมหานคร,5,11,นาย,สุทักษ์,จิระรัตนวงศ์,ชาติไทยพัฒนา
205,กรุงเทพมหานคร,5,12,นาย,ศุภศักดิ์,บุญญะสุต,ประชาภิวัฒน์
206,กรุงเทพมหานคร,5,13,นาย,ประเดิมชัย,บุญช่วยเหลือ,เพื่อไทย
207,กรุงเทพมหานคร,5,14,นางสาว,สาวิตรี,สาทสุทธิ,เพื่อชาติ
208,กรุงเทพมหานคร,5,15,นาย,จักรทิพย์,ปัทมะทิน,รักษ์ผืนป่าประเทศไทย
209,กรุงเทพมหานคร,5,16,นาง,น้องนุช,โทเอ,ภราดรภาพ
210,กรุงเทพมหานคร,5,17,นาย,ภาณุพงศ์,บัวมาตร,รวมพลังประชาชาติไทย
