ลําดับที่,จังหวัด,เขต,,,,,
เลือกตั้งที่,เลขที่,,,,,,
ใบรับใบสมัคร,คํานําหน้า,,,,,,
ผู้สมัคร,ชื่อผู้สมัคร,นามสกุลผู้สมัคร,ชื่อพรรคการเมือง,,,,
6371,พิษณุโลก,4,14,นาย,ภิรมย์,ศิริสานต์,ประชาภิวัฒน์
6372,พิษณุโลก,4,15,นาย,มนูญ,ฮวบน้อย,ประชาธิปไตยใหม่
6373,พิษณุโลก,4,16,นาย,ปิยณัฐ,ดอนตุ้มไพร,ชาติไทยพัฒนา
6374,พิษณุโลก,4,17,นาย,วิสุทธิ์,ฉายพันธ์,เศรษฐกิจใหม่
6375,พิษณุโลก,4,18,นาย,สายธง,สิงห์สถิต,กรีน
6376,พิษณุโลก,4,19,นาย,เฉลิม,บุญภิบาล,เพื่อแผ่นดิน
6377,พิษณุโลก,4,20,นาย,ภาณุพงศ์,สนองตระกูล,เพื่อชาติ
6378,พิษณุโลก,4,21,นาย,ประเจต,ชินพงศ์,ไทยศรีวิไลย์
6379,พิษณุโลก,4,22,นาย,โอวภัทร,คลังเพ็ชร์,ภราดรภาพ
6380,พิษณุโลก,4,23,นาย,พิรัชพงษ์,อัครพัชร์กร,พลังปวงชนไทย
6381,พิษณุโลก,4,24,นาง,ลลิตา,สีแสง,พลังครูไทย
6382,พิษณุโลก,4,25,นาย,นิธิวัตร,ทวีประภาวัฒน์,พลังไทยรักไทย
6383,พิษณุโลก,4,26,นางสาว,นิภา,สีราชา,พลังชาติไทย
6384,พิษณุโลก,4,27,นาง,นุชรี,ชูลี,มหาชน
6385,พิษณุโลก,4,28,ร้อยตํารวจเอก,ธนกร,พ่วงรอด,แทนคุณแผ่นดิน
6386,พิษณุโลก,4,29,นาง,สุพัตรา,แสดงชม,ประชาไทย
6387,พิษณุโลก,4,30,นาง,วิมลพันธ์,ไกรฤกษ์,ไทรักธรรม
6388,พิษณุโลก,5,1,นาย,ธนู,พลเดชวิสัย,ภราดรภาพ
6389,พิษณุโลก,5,2,นาย,จินดา,เพ็ชรัตน์,ประชานิยม
6390,พิษณุโลก,5,3,นาย,อนันตไชย,มาฉิม,เพื่อชาติ
6391,พิษณุโลก,5,4,นาย,จิรพันธุ์,หาญชัยเวธน์,พลังท้องถิ่นไท
6392,พิษณุโลก,5,5,นาย,แปลง,บุญอาจ,สังคมประชาธิปไตยไทย
6393,พิษณุโลก,5,6,นาย,อมรเทพ,พัวทอง,อนาคตใหม่
6394,พิษณุโลก,5,7,นาย,เวียน,โพตะกาว,ชาติพัฒนา
6395,พิษณุโลก,5,8,นาย,คณิศร,มาดี,ประชาธิปัตย์
6396,พิษณุโลก,5,9,นาย,สุนิพล,ดีบ้านคลอง,ภูมิใจไทย
6397,พิษณุโลก,5,10,นาย,เชิด,สิรินันต์นุกุล,รวมพลังประชาชาติไทย
6398,พิษณุโลก,5,11,นาย,นคร,มาฉิม,เพื่อไทย
6399,พิษณุโลก,5,12,นาย,สุพจน์,โปร่งจิตร,เสรีรวมไทย
6400,พิษณุโลก,5,13,นาย,ชนสิษฏ์,จันทรศร,เพื่อแผ่นดิน
6401,พิษณุโลก,5,14,ร.ต.,ชัยวัฒน์,ม่วงพรหม,ประชาภิวัฒน์
6402,พิษณุโลก,5,15,นางสาว,สุพัตรา,มีศิล,พลังชาติไทย
6403,พิษณุโลก,5,16,นาย,มานัส,อ่อนอ้าย,พลังประชารัฐ
6404,พิษณุโลก,5,17,นาย,ณรงค์,สีตนไชย,ประชาธิปไตยใหม่
6405,พิษณุโลก,5,18,ว่าที่ร้อยตรีหญิง,มุกดา,จันทะคุณ,รักษ์ผืนป่าประเทศไทย
6406,พิษณุโลก,5,19,นาย,แทนคุณ,แซ่วื่อ,ประชาชาติ
6407,พิษณุโลก,5,20,นาย,ทรงกลด,สารีบุตร,พลังครูไทย
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
6408,พิษณุโลก,5,21,นาย,วิวัฒน์,ดีอินทร์,เศรษฐกิจใหม่
6409,พิษณุโลก,5,22,นาย,ชาย,แซ่โล่,ครูไทยเพื่อประชาชน
6410,พิษณุโลก,5,23,นาง,คุณัญญา,เชื้อบุญมี,กรีน
6411,พิษณุโลก,5,24,นางสาว,กนกวรรณ,ศรีภิรมย์,ชาติไทยพัฒนา
6412,พิษณุโลก,5,25,นาย,กิตติศักดิ์,เสือสะอาด,ประชาชนปฏิรูป
6413,พิษณุโลก,5,26,นาย,วรชัย,กาญจนะโกสุม,พลเมืองไทย
6414,พิษณุโลก,5,27,นางสาว,ธนัชชา,นารี,พลังปวงชนไทย
6415,พิษณุโลก,5,28,นาย,เกียรติวัฒ,ชื้อนิธิไพศาล,พลังไทยรักไทย
6416,พิษณุโลก,5,29,นาย,ธนกร,หวังแก้ว,แผ่นดินธรรม
6417,พิษณุโลก,5,30,นาย,พงษ์เพชร,จันทรา,พลังรัก
6418,พิษณุโลก,5,31,นาย,เศรษฐา,สุทธิหล่อ,ประชากรไทย
6419,พิษณุโลก,5,32,นาง,สุมาลี,แย้มรุ่ง,มหาชน
6420,พิษณุโลก,5,33,นาย,พีระพล,อัศวศิริโรจน์,ไทยศรีวิไลย์
6421,พิษณุโลก,5,34,นาง,สุมาลี,กันหมุด,ประชาธรรมไทย
6422,พิษณุโลก,5,35,นาง,อมรรัตน์,เขียวขุ้ย,แทนคุณแผ่นดิน
6423,พิษณุโลก,5,36,นาย,สําเนียง,แสงบุดดี,พลังแผ่นดินทอง
6424,พิษณุโลก,5,37,นาย,อภิฤหาญพามน,ฉัตรอภิเที่ยงค่ํา,ทางเลือกใหม่
6425,พิษณุโลก,5,38,นาง,รุ่งนภา,ควรสมทบ,ไทรักธรรม
6426,เพชรบุรี,1,1,นาย,มังกร,เจริญผล,อนาคตใหม่
6427,เพชรบุรี,1,2,นาย,สมภพ,ทิพย์ยอแล๊ะ,ประชาธรรมไทย
6428,เพชรบุรี,1,3,นาย,ไกรวุฒิ,นุชสวัสดิ์,ภูมิใจไทย
6429,เพชรบุรี,1,4,ร.ต.อ.,จงจิตร,ราโช,ประชานิยม
6430,เพชรบุรี,1,5,นาย,สังเวียน,โตสุวรรณ์,ไทยรักษาชาติ
6431,เพชรบุรี,1,6,นาย,ยุทธพล,อังกนิันทน์,ชาติไทยพัฒนา
6432,เพชรบุรี,1,7,นาย,แถว,เนียมกลั่น,รวมพลังประชาชาติไทย
6433,เพชรบุรี,1,8,นาง,ณิชชา,พิมพ์สว่าง,พลังท้องถิ่นไท
6434,เพชรบุรี,1,9,นาย,กฤษณ์,แก้วอยู่,พลังประชารัฐ
6435,เพชรบุรี,1,10,นาย,อรรถพร,พลบุตร,ประชาธิปัตย์
6436,เพชรบุรี,1,11,นางสาว,จริน,จันทร์ลาด,เสรีรวมไทย
6437,เพชรบุรี,1,12,นาย,สุเมธ,ฉ่ํามะนา,รักษ์ผืนป่าประเทศไทย
6438,เพชรบุรี,1,13,นาย,เอื้อน,เกิดเล,พลังปวงชนไทย
6439,เพชรบุรี,1,14,นาย,อามิน,คาร,เพื่อนไทย
6440,เพชรบุรี,1,15,นาย,ธนภูมิ,แสงแสน,กรีน
6441,เพชรบุรี,1,16,จ่าสิบโท,สมเภศ,คงสบาย,ประชาภิวัฒน์
6442,เพชรบุรี,1,17,นาย,ฐาปกรณ์,รอดสวัสดิ์,พลังไทยรักชาติ
6443,เพชรบุรี,1,18,นาย,ดามพ์,ไตละนันทน์,เพื่อชาติ
6444,เพชรบุรี,1,19,นางสาว,ชญาณณัจมดี,แก้วชัด,ครูไทยเพื่อประชาชน
6445,เพชรบุรี,1,20,นาย,แสวง,หอมทน,ภาคีเครือข่ายไทย
6446,เพชรบุรี,1,21,นาง,เบญจวรรณ,จันทร์แจ่ม,พลังชาติไทย
6447,เพชรบุรี,1,22,นาย,สําเริง,แมลงทับ,พลังไทสร้างชาติ
6448,เพชรบุรี,1,23,นาง,สุภาพ,ศรีสวัสดิ์,พลังสังคม
6449,เพชรบุรี,1,24,นาย,พรหมสิทธิ์,สว่างแวว,แผ่นดินธรรม
6450,เพชรบุรี,1,25,นางสาว,จิตตานันท์,นันทภักดิ์,เศรษฐกิจใหม่
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
6451,เพชรบุรี,2,1,นาย,ไพฑูร,สีสง่า,ภูมิใจไทย
6452,เพชรบุรี,2,2,นาย,ธาวิต,พ่อเมือง,รวมพลังประชาชาติไทย
6453,เพชรบุรี,2,3,นาย,อภิวัตร,เงินดี,ประชานิยม
6454,เพชรบุรี,2,4,นาย,ฎิชยพงษ์,แช่มเทศ,รวมใจไทย
6455,เพชรบุรี,2,5,นาย,สาธิต,อุ๋ยตระกูล,พลังประชารัฐ
6456,เพชรบุรี,2,6,นาย,สุขเขตร,สุขโข,ชาติไทยพัฒนา
6457,เพชรบุรี,2,7,นาย,เสริมส่ง,อินทร์ประสิทธิ์,พลเมืองไทย
6458,เพชรบุรี,2,8,นาย,สุริยะ,จันทร์ทอง,พลังปวงชนไทย
6459,เพชรบุรี,2,9,นาง,สุธาดา,ยอดทองถาวร,ประชาธรรมไทย
6460,เพชรบุรี,2,10,นาย,กัมพล,สุภาแพ่ง,ประชาธิปัตย์
6461,เพชรบุรี,2,11,นาย,กิตติพงษ์,พึ่งแตง,อนาคตใหม่
6462,เพชรบุรี,2,12,นางสาว,วรรณพร,เกษเดช,พลังท้องถิ่นไท
6463,เพชรบุรี,2,13,นาย,หัสพันธ์,เสมเถื่อน,เสรีรวมไทย
6464,เพชรบุรี,2,14,นาย,ประจวบ,จันทร์สง่า,เพื่อแผ่นดิน
6465,เพชรบุรี,2,15,นาย,อํานาจ,ฉ่ํามะนา,รักษ์ผืนป่าประเทศไทย
6466,เพชรบุรี,2,16,นาย,อาซิม,คาร,เพื่อนไทย
6467,เพชรบุรี,2,17,นาย,ชัยโชค,บุศราทิจ,ประชาภิวัฒน์
6468,เพชรบุรี,2,18,นาง,ธนัชพร,ศรีฟ้า,พลังไทยรักชาติ
6469,เพชรบุรี,2,19,นาย,วันชนะ,เกิดดีชะเอมน้อย,ไทยรักษาชาติ
6470,เพชรบุรี,2,20,นางสาว,วริศวรรณ,แสงทอง,เพื่อชาติ
6471,เพชรบุรี,2,21,นาย,ปราโมทย์,เพชรศาสตร์,เศรษฐกิจใหม่
6472,เพชรบุรี,2,22,นาย,พลภัทร,หอมแม้น,ประชาธิปไตยใหม่
6473,เพชรบุรี,2,23,นาย,ธนกิตติ์,ทองเพชร,พลังไทสร้างชาติ
6474,เพชรบุรี,2,24,นาย,พงษ์ประพันธ์,เถื่อนมา,ครูไทยเพื่อประชาชน
6475,เพชรบุรี,2,25,นาย,จิรพันธุ์,ภิรมย์ธีรโชติ,ภาคีเครือข่ายไทย
6476,เพชรบุรี,2,26,นาย,อรรถ,รอดสวัสดิ์,พลังชาติไทย
6477,เพชรบุรี,2,27,นางสาว,พิณนภา,พฤกษาพรรณ,กรีน
6478,เพชรบุรี,3,1,นาย,ศักดิ์ชัย,ปี่แก้ว,พลังปวงชนไทย
6479,เพชรบุรี,3,2,นาย,ภาณุมาศ,อังกินันทน์,ไทยรักษาชาติ
6480,เพชรบุรี,3,3,นาย,นิธิศ,พุ่มพวง,เสรีรวมไทย
6481,เพชรบุรี,3,4,นาย,ชัยณรงค์,ปี่แก้ว,พลังท้องถิ่นไท
6482,เพชรบุรี,3,5,นาย,อภิชาติ,สุภาแพ่ง,ประชาธิปัตย์
6483,เพชรบุรี,3,6,นาย,จิรวัฒน์,พันธ์เผือก,รวมพลังประชาชาติไทย
6484,เพชรบุรี,3,7,นาย,สุชาติ,อุสาหะ,พลังประชารัฐ
6485,เพชรบุรี,3,8,นาย,อุกฤษ,นกกริ่ม,เพื่อแผ่นดิน
6486,เพชรบุรี,3,9,นางสาว,อมรรัตน์,สุขเจริญ,ชาติไทยพัฒนา
6487,เพชรบุรี,3,10,นาย,ชัยณาม,ว่องไว,อนาคตใหม่
6488,เพชรบุรี,3,11,นาย,สนั่น,ปัตพี,ประชาธรรมไทย
6489,เพชรบุรี,3,12,ร.ต.ท.,โกมล,ลบแย้ม,ประชานิยม
6490,เพชรบุรี,3,13,นาย,บรรพต,กําไลแก้ว,ภูมิใจไทย
6491,เพชรบุรี,3,14,นาง,สุชีลา,วิริยะภิญโญชีพ,พลเมืองไทย
6492,เพชรบุรี,3,15,นาย,อภิสิทธิ์,เจริญสุข,กรีน
6493,เพชรบุรี,3,16,นาง,ศุลีพร,บุศราทิจ,ประชาภิวัฒน์
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
6494,เพชรบุรี,3,17,นาย,สนั่น,คมขํา,พลังไทยรักชาติ
6495,เพชรบุรี,3,18,นาย,โอฬาร,บานแย้ม,เพื่อชาติ
6496,เพชรบุรี,3,19,นาย,ศักดิ์ดา,ปีดอก,รักษ์ผืนป่าประเทศไทย
6497,เพชรบุรี,3,20,นาย,เอกราช,รุ่งไพรัญ,เพื่อนไทย
6498,เพชรบุรี,3,21,นาย,สมศักดิ์,กอใหญ่กลาง,ประชาธิปไตยใหม่
6499,เพชรบุรี,3,22,นาง,ชญานิศ,สุมนฑา,ครูไทยเพื่อประชาชน
6500,เพชรบุรี,3,23,นางสาว,เชอรี่ย์,คําสวัสดิ์,ภาคีเครือข่ายไทย
6501,เพชรบุรี,3,24,นาย,สายันต์,ทรัพย์มา,พลังชาติไทย
6502,เพชรบุรี,3,25,นาย,สมบตัิ,พราหมณี,พลังไทสร้างชาติ
6503,เพชรบุรี,3,26,นาย,โพธิแก้ว,หอธรรมรัตน์,ประชาไทย
6504,เพชรบุรี,3,27,นาย,สมนกึ,ดีหะสิงห์,แผ่นดินธรรม
6505,เพชรบุรี,3,28,นาย,จิณณาวัฒน์,มูลนาม,เศรษฐกิจใหม่
6506,เพชรบูรณ์,1,1,นาย,สว่าง,กันยายน,รักษ์ผืนป่าประเทศไทย
6507,เพชรบูรณ์,1,2,นาย,อดิศักดิ์,บํารุงคีรี,ประชาชาติ
6508,เพชรบูรณ์,1,3,นาย,ชัยณรงค์,สืบสุรีย์กุล,ประชาธิปัตย์
6509,เพชรบูรณ์,1,4,นาย,วิจิตร,พรพฤฒิพันธุ์,ชาติไทยพัฒนา
6510,เพชรบูรณ์,1,5,นาย,พนม,ผลลอย,เสรีรวมไทย
6511,เพชรบูรณ์,1,6,นาย,ดะ,ทรงสวัสดิ์วงศ์,พลังท้องถิ่นไท
6512,เพชรบูรณ์,1,7,นาย,ธาร,คําภักดี,เพื่อชาติ
6513,เพชรบูรณ์,1,8,นาย,ศิรวิทย์,ทองคํา,อนาคตใหม่
6514,เพชรบูรณ์,1,9,นาย,สนอง,คําเพราะ,ทางเลือกใหม่
6515,เพชรบูรณ์,1,10,นาย,สุทัศน์,จันทร์แสงศรี,เพื่อไทย
6516,เพชรบูรณ์,1,11,นาง,กุลิสรา,เสาธง,ประชาภิวัฒน์
6517,เพชรบูรณ์,1,12,นางสาว,พิมพ์พร,พรพฤฒิพันธุ์,พลังประชารัฐ
6518,เพชรบูรณ์,1,13,นาย,จักรพันฎธ์,ศิริวงศ์,ประชาธิปไตยใหม่
6519,เพชรบูรณ์,1,14,นาย,บุญติ่ง,อุ่นแก้ว,รวมพลังประชาชาติไทย
6520,เพชรบูรณ์,1,15,นาง,ชนัญญา,วิลาสินี,ประชานิยม
6521,เพชรบูรณ์,1,16,นาย,สัญชัย,วัดบุญเลี้ยง,ประชาชนปฏิรูป
6522,เพชรบูรณ์,1,17,นาย,ธัชพล,ดวงพัตรา,ภูมิใจไทย
6523,เพชรบูรณ์,1,18,ร.ต.,จิตศาสตร์,ศรีบรรดิษฐ์,เพื่อแผ่นดิน
6524,เพชรบูรณ์,1,19,นาย,มงคล,นิลประสิทธิ์,เพื่อนไทย
6525,เพชรบูรณ์,1,20,นาย,เสวี,สะอาดใจ,เศรษฐกิจใหม่
6526,เพชรบูรณ์,1,21,นาย,ชัยยุทธ์,ศรีจริยา,ประชาธรรมไทย
6527,เพชรบูรณ์,1,22,นาย,สุวัฒน์,บุศย์เมือง,พลังปวงชนไทย
6528,เพชรบูรณ์,1,23,นาวาอากาศโท,ธีระยุทธ,โนรีเวช,พัฒนาประเทศไทย
6529,เพชรบูรณ์,1,24,นาย,มัด,บุญละ,ครูไทยเพื่อประชาชน
6530,เพชรบูรณ์,1,25,นาย,หิรัญวัตติ์,รัตนวิชัย,พลังชาติไทย
6531,เพชรบูรณ์,1,26,นาง,สมัย,บัวทอง,แผ่นดินธรรม
6532,เพชรบูรณ์,1,27,นาง,สุวิภา,พลกัณฑ์,ภราดรภาพ
6533,เพชรบูรณ์,1,28,นาย,กฤษณะ,อินทโฉม,พลังประชาธิปไตย
6534,เพชรบูรณ์,1,29,นาง,เตือนใจ,มั่งมี,ประชากรไทย
6535,เพชรบูรณ์,1,30,นาย,กิตติพงษ์,ดอกชูรุ่ง,ผึ้งหลวง
6536,เพชรบูรณ์,1,31,นาย,วิมล,สุนา,ไทรักธรรม
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
6537,เพชรบูรณ์,2,1,นาย,จักรัตน์,พั้วช่วย,พลังประชารัฐ
6538,เพชรบูรณ์,2,2,นาย,กษิดิ์เดช,ชวาลสันตติ,ภูมิใจไทย
6539,เพชรบูรณ์,2,3,นาย,สุรพล,จิอู๋,ประชาภิวัฒน์
6540,เพชรบูรณ์,2,4,นาย,ยุพราช,บัวอินทร์,ประชาธิปัตย์
6541,เพชรบูรณ์,2,5,นาย,พรเทพ,เพชรรุ่งทอง,อนาคตใหม่
6542,เพชรบูรณ์,2,6,นาย,อ๊อด,คงทน,รักษ์ผืนป่าประเทศไทย
6543,เพชรบูรณ์,2,7,นางสาว,ปรียาภรณ์,นาคเงิน,พลังท้องถิ่นไท
6544,เพชรบูรณ์,2,8,นางสาว,ตรีชฎา,ศรีธาดา,ไทยรักษาชาติ
6545,เพชรบูรณ์,2,9,นางสาว,พิยดา,สังข์ทอง,รวมพลังประชาชาติไทย
6546,เพชรบูรณ์,2,10,นาย,จักรพงษ์,ขันตี,เสรีรวมไทย
6547,เพชรบูรณ์,2,11,นาย,นันท์พิพัชร์,วงศ์มีมา,เพื่อชาติ
6548,เพชรบูรณ์,2,12,นาย,สนม,มาระวัง,ชาติไทยพัฒนา
6549,เพชรบูรณ์,2,13,นาย,กิตติศักดิ์,กองคํา,ทางเลือกใหม่
6550,เพชรบูรณ์,2,14,นาย,มะนัตร,พรมเจียม,เพื่อแผ่นดิน
6551,เพชรบูรณ์,2,15,นาย,ธวัช,ชุมหิน,ฐานรากไทย
6552,เพชรบูรณ์,2,16,เรืออากาศโท,อเนก,ก้อนมณี,พลังชาติไทย
6553,เพชรบูรณ์,2,17,นาย,พันธ์นุวัฒน์,โรจนคีรีไพศาล,ประชาธรรมไทย
6554,เพชรบูรณ์,2,18,นาย,สุรนาจ,กองเตย,เศรษฐกิจใหม่
6555,เพชรบูรณ์,2,19,นาย,ธัชพงษ์,เสาธง,พลังปวงชนไทย
6556,เพชรบูรณ์,2,20,นาย,ปัญญาวุฒิ,ศรีบุญ,พัฒนาประเทศไทย
6557,เพชรบูรณ์,2,21,นาย,ฐิติกร,ไหวพริบ,ครูไทยเพื่อประชาชน
6558,เพชรบูรณ์,2,22,นาง,ณิชญา,กางถิ่น,ประชาชนปฏิรูป
6559,เพชรบูรณ์,2,23,นาง,ปนรรฐพร,เกสรทอง,ประชานิยม
6560,เพชรบูรณ์,2,24,นาย,ศักดา,สายบุญเคียง,ภราดรภาพ
6561,เพชรบูรณ์,2,25,นาย,สมชาย,หมื่นสุข,พลังประชาธิปไตย
6562,เพชรบูรณ์,2,26,นาย,ชยพล,พรหมท้าว,ประชาธิปไตยใหม่
6563,เพชรบูรณ์,2,27,นาง,ทิพวัลย์,จันทร์แปลง,ไทรักธรรม
6564,เพชรบูรณ์,3,1,นาย,ยชญ์สุธา,วิชัยธนพัฒน์,ภูมิใจไทย
6565,เพชรบูรณ์,3,2,นาย,ณัฐพล,ภาคกุล,ประชาธิปัตย์
6566,เพชรบูรณ์,3,3,นาย,จักรภัทร,ชิตพงศ์,ประชานิยม
6567,เพชรบูรณ์,3,4,นาย,อุไร,โคตุทา,ประชาชนปฏิรูป
6568,เพชรบูรณ์,3,5,นาย,ณัฐวุฒิ,บุ้งจันทร์,พลังท้องถิ่นไท
6569,เพชรบูรณ์,3,6,นาย,กฤษณ์,บุดดีจีน,เพื่อชาติ
6570,เพชรบูรณ์,3,7,นาย,พรรค,เม่นบางผึ้ง,รวมพลังประชาชาติไทย
6571,เพชรบูรณ์,3,8,นาย,สุระ,แสนคํา,ชาติไทยพัฒนา
6572,เพชรบูรณ์,3,9,นาย,ทวีศักดิ์,อนรรฆพันธ์,เพื่อไทย
6573,เพชรบูรณ์,3,10,นาย,แสงเพชร,ชาติชํานาญ,เสรีรวมไทย
6574,เพชรบูรณ์,3,11,นาย,หลุย,บุญสะอาด,อนาคตใหม่
6575,เพชรบูรณ์,3,12,นาง,วันเพ็ญ,พร้อมพัฒน์,พลังประชารัฐ
6576,เพชรบูรณ์,3,13,นาย,สมเกียรติ,ขันธรรม,ประชาภิวัฒน์
6577,เพชรบูรณ์,3,14,นาย,กมล,แก้วปักษี,รักษ์ผืนป่าประเทศไทย
6578,เพชรบูรณ์,3,15,นางสาว,พรพิมล,ใหม่ธรรมพชร,ภราดรภาพ
6579,เพชรบูรณ์,3,16,นาง,เกศแก้ว,ศรีบรรดิษฐ์,เพื่อแผ่นดิน
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
6580,เพชรบูรณ์,3,17,นางสาว,จิรญา,จันจร,ชาติพัฒนา
6581,เพชรบูรณ์,3,18,นาย,สมบูรณ์,เครื่องทิพย์,พลเมืองไทย
6582,เพชรบูรณ์,3,19,นาย,สวัสดิ์,บัวลุม,ประชาธรรมไทย
6583,เพชรบูรณ์,3,20,นาย,ชัยยันต์,ยอดคํา,เศรษฐกิจใหม่
6584,เพชรบูรณ์,3,21,นาย,ประดิษฐ์,ทองทุม,พลังปวงชนไทย
6585,เพชรบูรณ์,3,22,นาย,ธนบูรณ์,แสงหาญ,พัฒนาประเทศไทย
6586,เพชรบูรณ์,3,23,พันเอก,ศรายุทธ,กงเหิน,พลังชาติไทย
6587,เพชรบูรณ์,3,24,ร้อยตรี,วัลลภ,เรืองรุ่ง,พลังไทสร้างชาติ
6588,เพชรบูรณ์,3,25,นาง,ลําเภา,ศรีนวลชาติกุล,ครูไทยเพื่อประชาชน
6589,เพชรบูรณ์,3,26,นาย,สําราญ,บุตรสะสม,แผ่นดินธรรม
6590,เพชรบูรณ์,3,27,นางสาว,อภัสรดา,วิริยะสกุลพันธุ์,ประชากรไทย
6591,เพชรบูรณ์,3,28,นาย,ธิปไตย,แสงรัก,ประชาธิปไตยใหม่
6592,เพชรบูรณ์,3,29,นาย,สุนทร,ศฤงคาร,พลังประชาธิปไตย
6593,เพชรบูรณ์,3,30,นาย,พงศ์ธนนท์,แก้วเพียร,ผึ้งหลวง
6594,เพชรบูรณ์,3,31,นาง,อุไร,จันจั่น,ไทรักธรรม
6595,เพชรบูรณ์,4,1,พันตํารวจเอก,ศุภณัฏฐ์,นามนรเศรษฐ์,ไทยรักษาชาติ
6596,เพชรบูรณ์,4,2,นางสาว,พัชรีนิษฐ์,สุขเสถียร,ประชาชนปฏิรูป
6597,เพชรบูรณ์,4,3,นาย,เกรียงไกร,เกษาอาด,พลังท้องถิ่นไท
6598,เพชรบูรณ์,4,4,นางสาว,ปิ่นปินัทธ์,สุดทํานอง,ประชาธิปัตย์
6599,เพชรบูรณ์,4,5,นางสาว,ประกายแก้ว,จันทร์หอม,รักษ์ผืนป่าประเทศไทย
6600,เพชรบูรณ์,4,6,นาย,ปัณณทัต,ปานเงิน,ประชาภิวัฒน์
6601,เพชรบูรณ์,4,7,นาย,ทวีศักดิ์,เชื้อบุญมี,รวมพลังประชาชาติไทย
6602,เพชรบูรณ์,4,8,จ่าเอก,ศุภวัฒน์,เมธาวัชรินทร์,ภูมิใจไทย
6603,เพชรบูรณ์,4,9,พันจ่าอากาศโท,กิตติคุณ,นาคะบุตร,เพื่อไทย
6604,เพชรบูรณ์,4,10,นาย,จักรวาลย์,พรมตู้,อนาคตใหม่
6605,เพชรบูรณ์,4,11,นาย,กฤษณพงศ์,สอนน้อย,เสรีรวมไทย
6606,เพชรบูรณ์,4,12,นาย,สมศักดิ์,สังแตง,พลังปวงชนไทย
6607,เพชรบูรณ์,4,13,นาย,สุรศักดิ์,อนรรฆพันธ์,พลังประชารัฐ
6608,เพชรบูรณ์,4,14,นาย,พีระชัย,แสนคํา,ชาติไทยพัฒนา
6609,เพชรบูรณ์,4,15,นาง,ละเอียด,น้อยทา,พลังชาติไทย
6610,เพชรบูรณ์,4,16,ร้อยตรี,กุล,บัวศรี,ประชาธิปไตยใหม่
6611,เพชรบูรณ์,4,17,นาย,บุญเสริม,สิงห์ทอง,เพื่อชาติ
6612,เพชรบูรณ์,4,18,ร้อยตรี,กรวัฎฐณกิจ,กรอัครินทร์,เพื่อแผ่นดิน
6613,เพชรบูรณ์,4,19,นางสาว,นะรินวัลย์,คล้ายเดชนิลินัน,ทางเลือกใหม่
6614,เพชรบูรณ์,4,20,นาย,นิพนธ์,อิ่มคง,เพื่อนไทย
6615,เพชรบูรณ์,4,21,นาย,ประดิษฐ์,บุญยอด,พลเมืองไทย
6616,เพชรบูรณ์,4,22,นาย,ไสว,อินนิ่ม,ประชาธรรมไทย
6617,เพชรบูรณ์,4,23,นาย,นวน,ไสยาน้อย,เศรษฐกิจใหม่
6618,เพชรบูรณ์,4,24,นาย,ทองปน,ตองติดรัมย์,พลังธรรมใหม่
6619,เพชรบูรณ์,4,25,นาย,สุเทพ,เพชรผึ้ง,พัฒนาประเทศไทย
6620,เพชรบูรณ์,4,26,นาย,ณัฐวุฒิ,พริกแดง,ครูไทยเพื่อประชาชน
6621,เพชรบูรณ์,4,27,นางสาว,ชนัดดา,เมธาจิตติคุณ,ประชานิยม
6622,เพชรบูรณ์,4,28,นางสาว,พรหทัย,ใหม่ธรรม,ภราดรภาพ
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
6623,เพชรบูรณ์,4,29,นาย,จิระ,เตินขุนทด,พลังประชาธิปไตย
6624,เพชรบูรณ์,4,30,นาย,ธนากร,เถียรธีรทัต,ประชากรไทย
6625,เพชรบูรณ์,4,31,นาง,พัสราพร,แก้วแพง,ผึ้งหลวง
6626,เพชรบูรณ์,4,32,นาย,สุข,จันทโคต,ไทรักธรรม
6627,เพชรบูรณ์,5,1,นาย,เอี่ยม,ทองใจสด,พลังประชารัฐ
6628,เพชรบูรณ์,5,2,นาย,เกรียงไกร,ปานสีทอง,อนาคตใหม่
6629,เพชรบูรณ์,5,3,นาย,เหลือ,น้อยภู่,รวมพลังประชาชาติไทย
6630,เพชรบูรณ์,5,4,นาย,ภฤิศรุ้ง,ฉ่ําตะคุ,เสรีรวมไทย
